"dummy","n2"
"n2_1","0.0578276999294758"
"n2_2","0.150762587785721"
"n2_3","-0.205925837159157"
"n2_4","0.0178143754601479"
"n2_5","0.0880489349365234"
"n2_6","-0.0219032950699329"
"n2_7","-0.127709627151489"
"n2_8","-0.052825815975666"
"n2_9","0.138333529233932"
"n2_10","-0.0744815692305565"
"n2_11","0.0101760933175683"
"n2_12","-0.0808559954166412"
"n2_13","0.16898638010025"
"n2_14","-0.142391383647919"
"n2_15","-0.102513611316681"
"n2_16","0.130211815237999"
"n2_17","0.0680373758077621"
"n2_18","-0.0493844114243984"
"n2_19","-0.0586574412882328"
"n2_20","-0.131860539317131"
"n2_21","0.0587778128683567"
"n2_22","-0.116999760270119"
"n2_23","-0.159945979714394"
"n2_24","0.0815704092383385"
"n2_25","-0.000881477724760771"
"n2_26","0.124329879879951"
"n2_27","-0.0526589341461658"
"n2_28","-0.140361472964287"
"n2_29","0.00775629049167037"
"n2_30","0.023334551602602"
"n2_31","-0.116389043629169"
"n2_32","0.0139538273215294"
"n2_33","-0.0544041469693184"
"n2_34","-0.0299266781657934"
"n2_35","-0.123393945395947"
"n2_36","0.0697969868779182"
"n2_37","-0.0291186757385731"
"n2_38","-0.118573531508446"
"n2_39","0.0535661391913891"
"n2_40","-0.134268999099731"
"n2_41","-0.115712441504002"
"n2_42","0.156962424516678"
"n2_43","-0.147041976451874"
"n2_44","-0.145777314901352"
"n2_45","0.0258752815425396"
"n2_46","-0.0595172755420208"
"n2_47","-0.0369110070168972"
"n2_48","-0.107782617211342"
"n2_49","0.0375801362097263"
"n2_50","-0.0287177283316851"
"n2_51","-0.0863847061991692"
"n2_52","-0.038353692740202"
"n2_53","-0.0147859510034323"
"n2_54","-0.160982638597488"
"n2_55","-0.0098458593711257"
"n2_56","-0.0917428061366081"
"n2_57","0.00278449687175453"
"n2_58","-0.0631295889616013"
"n2_59","-0.0836221873760223"
"n2_60","-0.174501150846481"
"n2_61","-0.0475128665566444"
"n2_62","-0.0626923888921738"
"n2_63","0.0228808112442493"
"n2_64","-0.111198261380196"
"n2_65","-0.13421718776226"
"n2_66","-0.133400723338127"
"n2_67","-0.143155425786972"
"n2_68","-0.154179856181145"
"n2_69","-0.158835217356682"
"n2_70","-0.136309042572975"
"n2_71","-0.0634336620569229"
"n2_72","-0.129694849252701"
"n2_73","-0.0161381177604198"
"n2_74","-0.0899719670414925"
"n2_75","-0.0560508370399475"
"n2_76","-0.0888861268758774"
"n2_77","-0.11163130402565"
"n2_78","-0.122406013309956"
"n2_79","-0.163230076432228"
"n2_80","-0.0922046899795532"
"n2_81","0.157252788543701"
"n2_82","-0.109400071203709"
"n2_83","-0.055474054068327"
"n2_84","0.00484693050384521"
"n2_85","-0.0441941320896149"
"n2_86","0.0432671159505844"
"n2_87","-0.125414058566093"
"n2_88","-0.105921112000942"
"n2_89","-0.0621294751763344"
"n2_90","-0.0770630612969398"
"n2_91","0.0557879097759724"
"n2_92","-0.0825777798891068"
"n2_93","-0.0933679416775703"
"n2_94","-0.0707673579454422"
"n2_95","-0.164123862981796"
"n2_96","-0.133830100297928"
"n2_97","-0.0877116993069649"
"n2_98","-0.16860930621624"
"n2_99","0.14618769288063"
"n2_100","0.0276555791497231"
"n2_101","-0.0684884861111641"
"n2_102","-0.0810971185564995"
"n2_103","-0.026712765917182"
"n2_104","-0.109433710575104"
"n2_105","-0.108348421752453"
"n2_106","-0.136475712060928"
"n2_107","0.11741042137146"
"n2_108","-0.0397307425737381"
"n2_109","-0.0519969649612904"
"n2_110","-0.151521116495132"
"n2_111","-0.1163719445467"
"n2_112","-0.0680965334177017"
"n2_113","-0.0242227409034967"
"n2_114","0.0226444564759731"
"n2_115","-0.138058319687843"
"n2_116","-0.104111269116402"
"n2_117","-0.133270233869553"
"n2_118","-0.106107845902443"
"n2_119","-0.0885006561875343"
"n2_120","-0.0763984397053719"
"n2_121","-0.106217905879021"
"n2_122","-0.0893262922763824"
"n2_123","-0.119759000837803"
"n2_124","0.0332582928240299"
"n2_125","-0.017133928835392"
"n2_126","0.019281443208456"
"n2_127","0.0177931468933821"
"n2_128","0.128204077482224"
"n2_129","0.0867897793650627"
"n2_130","-0.0948222354054451"
"n2_131","-0.105709865689278"
"n2_132","-0.115967869758606"
"n2_133","-0.0045455121435225"
"n2_134","-0.030652804300189"
"n2_135","-0.0499654337763786"
"n2_136","-0.0205205790698528"
"n2_137","0.00593263981863856"
"n2_138","-0.152811080217361"
"n2_139","-0.142856851220131"
"n2_140","0.0594351813197136"
"n2_141","-0.167344883084297"
"n2_142","0.142894640564919"
"n2_143","-0.113930784165859"
"n2_144","-0.118397325277328"
"n2_145","-0.21593551337719"
"n2_146","-0.0637267902493477"
"n2_147","-0.0793643444776535"
"n2_148","0.149074465036392"
"n2_149","-0.0375761203467846"
"n2_150","-0.0122027052566409"
"n2_151","-0.139500498771667"
"n2_152","-0.0157645344734192"
"n2_153","0.0945560485124588"
"n2_154","-0.0301803220063448"
"n2_155","-0.0640053898096085"
"n2_156","-0.0593443512916565"
"n2_157","-0.15483283996582"
"n2_158","-0.0587525591254234"
"n2_159","-0.0839758813381195"
"n2_160","-0.00826408062130213"
"n2_161","-0.0909661650657654"
"n2_162","-0.142029032111168"
"n2_163","0.0145181780681014"
"n2_164","-0.108325123786926"
"n2_165","-0.131004884839058"
"n2_166","-0.0987716019153595"
"n2_167","-0.123251132667065"
"n2_168","-0.0968442633748055"
"n2_169","-0.134318009018898"
"n2_170","-0.133384838700294"
"n2_171","-0.0965687707066536"
"n2_172","-0.146424263715744"
"n2_173","0.05980459228158"
"n2_174","-0.12544921040535"
"n2_175","0.0161392781883478"
"n2_176","-0.0135124372318387"
"n2_177","-0.0455070436000824"
"n2_178","-0.00432974193245173"
"n2_179","0.00825897511094809"
"n2_180","-0.0636319071054459"
"n2_181","-0.0490881875157356"
"n2_182","0.0285679940134287"
"n2_183","-0.0870275869965553"
"n2_184","-0.0462973527610302"
"n2_185","0.0204058196395636"
"n2_186","0.131904572248459"
"n2_187","-0.0447119772434235"
"n2_188","-0.0848765149712563"
"n2_189","-0.0475179888308048"
"n2_190","-0.0121077336370945"
"n2_191","0.0181231796741486"
"n2_192","-0.0897371247410774"
"n2_193","-0.00672664120793343"
"n2_194","-0.0361132845282555"
"n2_195","0.00971719808876514"
"n2_196","-0.0973718538880348"
"n2_197","-0.138535499572754"
"n2_198","-0.0681241378188133"
"n2_199","-0.0835910588502884"
"n2_200","-0.0994159206748009"
